Midway Astro 1961:+ellps=intl +towgs84=912.0,-58.0,1227.0,0,0,0,0 
Minna:+ellps=clrk80 +towgs84=-92.0,-93.0,122.0,0,0,0,0 
NAD27 Alaska:+ellps=clrk66 +datum=NAD27 +towgs84=-5.0,135.0,172.0,0,0,0,0
NAD27 Bahamas:+ellps=clrk66 +datum=NAD27 +towgs84=-4.0,154.0,178.0,0,0,0,0
NAD27 Canada:+ellps=clrk66 +datum=NAD27 +towgs84=-10.0,158.0,187.0,0,0,0,0
NAD27 CanalZone:+ellps=clrk66 +datum=NAD27 +towgs84=0.0,125.0,201.0,0,0,0,0
NAD27 Carribean:+ellps=clrk66 +datum=NAD27 +towgs84=-7.0,152.0,178.0,0,0,0,0
NAD27 Central:+ellps=clrk66 +datum=NAD27 +towgs84=0.0,125.0,194.0,0,0,0,0
NAD27 CONUS:+ellps=clrk66 +datum=NAD27 +towgs84=-8.0,160.0,176.0,0,0,0,0
NAD27 Cuba:+ellps=clrk66 +datum=NAD27 +towgs84=-9.0,152.0,178.0,0,0,0,0
NAD27 Greenland:+ellps=clrk66 +datum=NAD27 +towgs84=11.0,114.0,195.0,0,0,0,0
NAD27 Mexico:+ellps=clrk66 +datum=NAD27 +towgs84=-12.0,130.0,190.0,0,0,0,0
NAD27 San Salvador:+ellps=clrk66 +datum=NAD27 +towgs84=1.0,140.0,165.0,0,0,0,0
NAD83:+ellps=GRS80 +datum=NAD83 
Nahrwn Masirah IInd:+ellps=clrk80 +towgs84=-247.0,-148.0,369.0,0,0,0,0
Nahrwn Saudi Arbia:+ellps=clrk80 +towgs84=-231.0,-196.0,482.0,0,0,0,0
Nahrwn United Arab:+ellps=clrk80 +towgs84=-249.0,-156.0,381.0,0,0,0,0
Naparima BWI:+ellps=intl +towgs84=-2.0,374.0,172.0,0.0,0.0,0.0,0.0 
NGO1948:+a=6377492.018 +b=6356173.508712696 +towgs84=315.0,-217.0,528.0,0,0,0,0
NTF France:+a=6378249.2 +b=6356515 +towgs84=-168,-60,320,0,0,0,0
Norsk:+a=6377492.018 +b=6356173.508712696 +towgs84=278.0,93.0,474.0,0,0,0,0
Observatorio 1966:+ellps=intl +towgs84=-425.0,-169.0,81.0,0,0,0,0 
Old Egyptian:+ellps=helmert +towgs84=-130.0,110.0,-13.0,0,0,0,0
Old Hawaiian:+ellps=clrk66 +towgs84=61.0,-285.0,-181.0,0,0,0,0 
Oman:+ellps=clrk80 +towgs84=-346.0,-1.0,224.0,0,0,0,0
Old Srvy Grt Britn:+ellps=airy +towgs84=375.0,-111.0,431.0,0,0,0,0
Pico De Las Nieves:+ellps=intl +towgs84=-307.0,-92.0,127.0,0,0,0,0 
Pitcairn Astro 1967:+ellps=intl +towgs84=185,165,42,0,0,0,0 
Potsdam Rauenberg DHDN:+ellps=bessel +towgs84=606.0,23.0,413.0,0,0,0,0 
Prov So Amrican 1956:+ellps=intl +towgs84=-288.0,175.0,-376.0,0,0,0,0 
Prov So Chilean 1963:+ellps=intl +towgs84=16.0,196.0,93.0,0,0,0,0 
Puerto Rico:+ellps=clrk66 +towgs84=11.0,72.0,-101.0,0.0,0.0,0.0,0.0 
Pulkovo 1942(1):+ellps=krass +towgs84=28,-130,-95,0,0,0,0
Pulkovo 1942(2):+ellps=krass +towgs84=28,-130,-95,0,0,0,0
Qatar National:+ellps=intl +towgs84=-128.0,-283.0,22.0,0,0,0,0 
Qornoq:+ellps=intl +towgs84=164,138,-189,0,0,0,0
Reunion:+ellps=intl +towgs84=94.0,-948.0,-1252.0,0,0,0,0 
